Timestamp,Survey,Job Title,What is your employment status?,City,Gross Salary,Currency,What percentage salary increase did you receive in July 2020?,Additional Comments,What was your most recent performance rating?,Sector
7/31/2020 15:02:01,BL,Test Analyst,Full Time Employee,,$24.49,USD,1.20%,,Successful,AAA
7/31/2020 15:02:13,BL,Associate Software Engineer in Test,Full Time Employee,,"$79,000",USD,1.20%,,,AAA
7/31/2020 15:02:24,BL,CS,Full Time Employee,,48000,USD,0,,,AAA
7/31/2020 15:03:06,BL,Senior Technical Director II,Full Time Employee,Irvine,"144,560",USD,4,,,AAA
7/31/2020 15:03:33,BL,Senior Project Manager II,Full Time Employee,Austin,"$115,000",USD,n/a,New hire in 2020,,AAA
7/31/2020 15:03:37,BL,Tester,Contractor,Irvine,17/h,USD,,,,AAA
7/31/2020 15:03:50,BL,Test Analyst III,Full Time Employee,Irvine,26.22,USD,1,,,AAA
7/31/2020 15:03:55,BL,Associate Operations Administrator,Full Time Employee,Irvine,75750,USD,1,,,AAA
7/31/2020 15:04:46,BL,Associate Environment Artist,Full Time Employee,Irvine,"62,000",USD,2.30%,,,AAA
7/31/2020 15:04:47,BL,Specialist Game Master,Full Time Employee,Irvine,20.38,USD,5%,,,AAA
7/31/2020 15:04:58,BL,Associate Operations Admin,Full Time Employee,Irvine,$40/hr,USD,1%,,,AAA
7/31/2020 15:05:02,BL,Test Analyst,Full Time Employee,Irvine,$23.77/hr,USD,3% ($0.69),"I was hired before the QA Evolution as a QA 1. The evolution un-did my position causing my salary to be underneath the new low for Associate QA Analysts. During the QA salary corrections, they gave me $3 to help compensate. Before that I was a mid-level analyst making $19.97, less than what associate analysts were hired at. ",,AAA
7/31/2020 15:05:10,BL,Associate Producer,Full Time Employee,Irvine,36.27/hr,USD,0,,,AAA
7/31/2020 15:05:35,BL,Associate Software Engineer,Full Time Employee,Irvine,100000,USD,2,,,AAA
7/31/2020 15:06:09,BL,Test Analyst,Full Time Employee,Irvine,"$26.08/hr ($54,246)",USD,1.00%,I have been consistently high on my performance review every year. This year was a meets requirements/successful due to an email requiring managers reduce the number of high's they gave out even though I performed better than previous years. ,,AAA
7/31/2020 15:06:12,BL,Internal Technical Consultant,Full Time Employee,Austin,37232,USD,<1%,"The listed salary is after many years of ""Merit Increase"" and does not reflect the base pay for employees on this title. ",,AAA
7/31/2020 15:06:52,BL,CS In-Game Support,Full Time Employee,Austin,"35,760",USD,0%,,,AAA
7/31/2020 15:08:26,BL,Associate Producer,Full Time Employee,Irvine,"75,088",USD,5,"I received a market salary adjustment in October of last year which was a 10% increase within the same title, role, and team.",,AAA
7/31/2020 15:08:38,BL,Game Master,Full Time Employee,Austin,34798,USD,1,,,AAA
7/31/2020 15:08:58,BL,Test Analyst ,Full Time Employee,Irvine,48000,USD,1%,,,AAA
7/31/2020 15:09:03,BL,Senior Product Designer,Full Time Employee,Irvine,118000,USD,2.9,,,AAA
