Timestamp,Survey,Job Title,Gender,City,Gross Salary,Currency,Day Rate,Years of XP,Benefits,What is your employment status?
21/02/2019,FR, ,H,Paris,"35,000 €",EUR,,5,"mutuelle, tickets restos, intéressement, CE50% transports, RTT",CDI
19/02/2019,FR,2D ANIMATOR,F,Paris,"24,600 €",EUR,,2,Mutuelle 50%,CDI
15/07/2019,FR,2D ARTIST / concept artist,F,2020,"32,750 €",EUR,,3,"Horaires flexibles, 100 % Mutuelle + Mutuelle complémentaire, prime de Noël, Deliveroo Business",CDI - concept art; UI; anim 2D; art ingame; illustration & graphisme de com...
25/02/2019,FR,2D/3D ARTIST,F,Lille,"30,000 €",EUR,~300€,8,"Télétravail, horaires libres, temps pour d'autres activités (enseignement, conférences...), collaborations multiples",Freelance
18/02/2019,FR,2D/3D ARTIST,F,Paris,"25,000 €",EUR,,5,"CE, fruits en libre service, accès à des conférences et formations",
,FR,2D/3D ARTIST,F,Lille,"25,200 €",EUR,,11,"Ticket resto, 50% transports, mutuelle, CE, prime vacances, prime de participation",CDI - 35h
07/04/2021,FR,3D ANIMATOR,NB,Angoulême,"26,400 €",EUR,,3,"télétravail, horaires libres",CDD
18/02/2019,FR,3D ANIMATOR,F,Paris,"25,200 €",EUR,, ,"50% transport, tickets restos (8€), mutuelle",CDD 37h
20/02/2019,FR,3D ANIMATOR,F,Paris,"33,000 €",EUR,,3,"tickets resto, 50% transports, mutuelle, prime à la rentabilité, CE","CDI 37,5h (1RTT par mois)"
10/08/2020,FR,3D ANIMATOR,F,Paris,"31,000 €",EUR,,1,"Jeux gratuits, RTT, 50 % transports, mutuelle",CDI / 39H
19/02/2019,FR,3D ANIMATOR,H,Paris,"37,000 €",EUR,,10,"Jeux gratuits, TR, Prime, RTT",CDI / 39H
19/02/2019,FR,3D ANIMATOR,H,Paris,"45,000 €",EUR,,10,"50% transports, RTT",CDI
20/10/2021,FR,3D ANIMATOR,H,Paris,29 400 €,EUR,,2.5,"50% transports, tickets resto, mutuelle, actions gratuites",CDI 35h
7/4/2022,FR,3D ANIMATOR,H,Paris,34 000 €,EUR,,3,"mutuelle, RIE",CDI 35h
29/01/2021,FR,3D ANIMATOR,F,Bordeaux,"29,400 €",EUR,,2,"50% Transports, Mediathèque, mutuelle, primes, chèque cadeaux et tickets restau",CDD 35h
