Timestamp,Survey,Job Title,Region,City,Gross Salary,Currency,USD Gross Salary,Hourly Rate,Studio Size,Years of XP,Gender,Queer?,Ethnicity,Disabled,Benefits,Additional Comments,Job Category
24/02/2019 12:05:17,GL,Animator,West Coast,Seattle,"115,000.00",USD,"$115,000",,11-50,16+,Male,,White (Original Peoples of Eastern Europe ),,"Full time working remotely from home. Health/Dental/Vision, unlimited PTO, 401k with no match, unofficial bonus plan, christmas bonuses",,Animator
08/06/2020 13:01:14,GL,"Animator, 3D",Montréal,Montréal,"46,000.00",CAD,"$36,581","22,25$",11-50,2-5,Masculine,No,White (Original Peoples of Eastern Europe ),,"Assurances (Médicale/Dentaire) et 3 semaines de vacances (1 sem. Noël, 2 personnelles)",,Animator
24/02/2019 12:07:08,GL,Animator,West Coast,Seattle,"62,400.00",USD,"$62,400",$30,1-10,6-10,Female,,White (Original Peoples of Eastern Europe ),,None,,Animator
08/06/2020 15:08:56,GL,"Animator, Gameplay",Canada,Montreal,"54,000.00",CAD,"$42,942",,1000+,2-5,AFAB,Yes,White (Original Peoples of Eastern Europe ),,"RRSP match, full insurance, gym, 4 weeks paid vacation",,Animator
08/06/2020 18:27:26,GL,Animator,Georgia,Atlanta,"70,000.00",USD,"$70,000",,251-1000,6-10,Female,No,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"401k, healthcare, PTO",,Animator
09/06/2020 5:05:33,GL,Animator,West Coast,Orange County,"98,000.00",USD,"$98,000",,51-250,6-10,Male,No,White (Original Peoples of Eastern Europe ),,"401k (2% match, vested over 3 years), health/dental/vision, 4 weeks PTO, stock units vest over 4 years, snacks","No crunch, 40 hours/week. Average raise of 1% per year. Almost zero challenges",Animator
10/06/2020 16:56:39,GL,"Animator, Mid Level",East Coast,,"54,000.00",USD,"$54,000",,251-1000,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"401k matching, Medical, dental, vision, unlimited PTO, profit sharing",,Animator
10/06/2020 17:13:42,GL,"Animator, Mid Level",Southeast,Atlanta,"57,650.00",USD,"$57,650",,251-1000,16+,Female,Yes,White (Original Peoples of Eastern Europe ),,"401k matching; good health, dental, and vision insurance; 160 hours PTO; profit sharing and individual bonuses (taxed about half in GA); no crunch-very little overtime",,Animator
10/06/2020 18:49:24,GL,"Animator, Associate",Canada,Edmonton,"63,954.00",CAD,"$50,858",,251-1000,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"Stock purchase plan, 401k matching, medical and dental, vision, gym cost reimbursement, free games, work from home allowance",,Animator
10/06/2020 18:50:30,GL,"Animator, Associate",Canada,Edmonton,"63,954.00",CAD,"$50,858",,251-1000,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"Stock purchase plan, 401k matching, medical and dental, vision, gym cost reimbursement, free games, work from home allowance, PTO, sick/mental health days",,Animator
10/06/2020 19:05:44,GL,"Animator, Tech-Gameplay",Canada,Quebec,"52,000.00",CAD,"$41,352",25,51-250,2-5,Male,No,White (Original Peoples of Eastern Europe ),,1000 $ worth of sport/gym membership paid by the company,,Animator
11/06/2020 15:22:37,GL,Animator,East Coast,Atlanta,"57,000.00",USD,"$57,000",,251-1000,2-5,Female,No,White (Original Peoples of Eastern Europe ),,"401k matching, Medical, Dental, Vision, 160 hours of PTO, Profit Sharing, Individual bonuses (taxed half in GA), Free Snacks and drinks (up to $200 per month), Meals twice a week, Gym Memberships, In game currency, $1500 max per year training reimbursement, Maternity/Paternity Leave (12 weeks/ 2 weeks respectively), Dog Daycare discounts, Daycare discounts, Paid volunteer time","We have very little crunch. I feel that should not be a benefit... It should be the norm, but unfortunately in our industry, it is not.",Animator
