Timestamp,Survey,What is your monthly salary before tax?,Gross Salary,Currency,Job Title,Title Modifier,Benefits,How many studios have you worked at?,Gender,Are you from Sweden?,Have you ever worked outside of Sweden in the games industry?,Studio Size,Do you currently work in Sweden?,Years of XP,City,What is your employment status?
3/1/2020 15:15:05,SW,"kr52,750.00","kr675,000.00",SEK,Account Manager,none,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation",3,Woman,No,Yes,over 100,Yes,8,,
1/19/2022 11:32:19,SW,"kr26,650.00","kr337,723.00",SEK,Animator,Associate,"flex hours, working from home, pets/dogs allowed at office, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house yoga sessions, education / learning program for devs",1,Woman,Yes,No,26-100 employees,Yes,2,Malmö,Full-time employee / fast anställd
3/2/2020 14:51:22,SW,"kr60,000.00","kr720,000.00",SEK,Animator,Director of,"flex hours, working from home, more than 4 weeks vacation, stock programs for employees, friskvård / health compensation, weekly breakfast",3,Man,Yes,No,over 100,Yes,13,Stockholm,Full-time employee / fast anställd
3/3/2020 16:23:26,SW,"kr26,000.00","kr33,800.00",SEK,Animator,Junior,"flex hours, working from home, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house yoga sessions, weekly breakfast",1,Man,Yes,No,over 100,Yes,2,Malmö,Full-time employee / fast anställd
3/2/2020 14:08:05,SW,"kr25,500.00","kr306,000.00",SEK,Animator,Junior,"flex hours, more than 4 weeks vacation, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, weekly breakfast, education / learning program for devs",3,Man,Yes,Yes,over 100,Yes,3,Malmö,Full-time employee / fast anställd
10/22/2020 14:57:08,SW,"kr27,000.00","kr324,000.00",SEK,Animator,Junior,"flex hours, working from home, more than 4 weeks vacation, fancy coffee/drinks provided",1,Woman,Yes,No,1-25 employees,Yes,1,Skövde,Contractor / projekt anställd
3/30/2020 14:35:34,SW,"kr43,500.00","kr582,000.00",SEK,Animator,Lead,"flex hours, working from home, more than 4 weeks vacation, massages provided, fancy coffee/drinks provided, friskvård / health compensation, in-house mindfulness /meditation sessions, in-house yoga sessions, weekly breakfast, education / learning program for devs",2,Man,Yes,No,over 100,Yes,10,Stockholm,Full-time employee / fast anställd
3/1/2020 14:09:37,SW,"kr40,000.00",,SEK,Animator,Lead,"flex hours, more than 4 weeks vacation, pets/dogs allowed at office, friskvård / health compensation",2,Woman,Yes,Yes,,,,,
11/3/2020 17:26:48,SW,"kr37,500.00","kr435,000.00",SEK,Animator,Lead,"6 hour work day (or less than 40 hours a week work), flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation, weekly breakfast",4,Enby,Yes,No,over 100,Yes,12,Gothenburg,Full-time employee / fast anställd
3/2/2020 22:02:05,SW,"kr25,000.00","kr25,314.00",SEK,Animator,none,"flex hours, working from home, more than 4 weeks vacation, friskvård / health compensation",1,Prefer not to say,Yes,No,1-25 employees,Yes,1.5,Malmö ,Full-time employee / fast anställd
