Timestamp,Survey,Job Title,Gender,City,Sector,Gross Salary,Currency,Day Rate,Years of XP,Benefits,Additional Comments
September 2015,UK,Producer,Female,London,Indie,"£26,000",GBP,,1,,
June 2017,UK,Producer,Female,London,Indie,"£35,000",GBP,,3,,
September 2014,UK,Producer,Female,London,Indie,"£18,000",GBP,,0,,
January 2018,UK,Marketing manager,Female,London,Indie,"£35,000",GBP,,4,,
May 2016,UK,CEO,Male,London,Indie,"£70,000",GBP,,7,,
Feburary 2019,UK,Junior Developer,Female,East of England,Small studio,"£18,000",GBP,,1,,
February 2019,UK,Biz dev,Male,London,Indie,"£40,000",GBP,,12,"Pension, wfh",
February 2019,UK,QA Engineer,m,London,AAA,"£47,000",GBP,,5,,
February 2019,UK,gameplay programmer ,female,cambridge ,AA,"£24,000",GBP,,0,,
February 2019,UK,Senior Writer/Designer,Male,London,Mid-sized studio,"£42,000",GBP,,9,,
February 2019,UK,3D Artist ,Female ,London,Mobile,"£34,000",GBP,,2.5,"Profit share bonus yearly, pension, yearly company holiday, monthly massages, yoga once a week, flexible benefit yearly (that can go towards higher percentage pension, gym membership or extra holiday day), free kitchen snacks /coffee, training budget of £800 plus up to 3 days training, optional bupa, flexible working hours",Thanks for putting this together!! 
February 2019,UK,Developer,Male,London,AA,"£45,000",GBP,,4,"Pension matching, Friday beer, work from home several days a week",
February 2019,UK,QA Manager,Male,Guildford,AAA,"£30,000",GBP,,7,,"Was previously on £25,000 for QA Manager. Been recently told there is little movement higher for my salary in my current position."
February 2019,UK,Writer,Female,London,Indie,"£25,000",GBP,,2,,
February 2019,UK,3D Artist,Female/NB,London,Mobile,"£31,000",GBP,,5 years,"WFH days, pension, free cereal, snacks and drinks, monthly social events, free friday beer, meal with yearly appraisal, time off and funds to go to conventions and events. ","2 years in games, 3 years relevant non games XP"
February 2019,UK,Gameplay and Tools Engineer,Male,East Midlands,AAA and Indie (Contractor),"£35,000",GBP,,1.5,,
May 2015,UK,Junior Game Programmer,Male,Wilmslow,AAA,"£21,000",GBP,,0,20% annual bonus,
October 2018,UK,Game Programmer,Male,Wilmslow,AAA,"£26,500",GBP,,3,20% annual bonus,
February 2019,UK,Gameplay Engineer,Male,Leamington Spa,AAA,"£32,000",GBP,,3.5,Sales-based royalties,
February 2019,UK,Game Engineer (programmer),Male,Leamington Spa,AAA Mobile,"£26,300",GBP,,6,Flexi time. Internal benefit scheme Including BUPA,Started this as junior and my first job post grad. Started on £22000. 
February 2019,UK,Producer,Female,London,Indie,"£35,000",GBP,,6,Yes,
February 2019,UK,UI Designer,Female,London,Mobile,"£35,000",GBP,,6,"Flexi time, pension",
February 2019,UK,Senior Game Designer,Male,Scotland,Indie/AAA,"£35,000",GBP,,8,,
February 2019,UK,Lead Designer,Male,Brighton,AA,"£45,000",GBP,,18,Pension,
October 2014,UK,Junior Programmer,Male,Cambridge,AAA,"£25,000",GBP,,0,"Health insurance, pension matching up to 5%, project bonuses",
December 2015,UK,Programmer,Male,Cambridge,AAA,"£28,000",GBP,,1,"Health insurance, pension matching up to 5%",
January 2017,UK,Programmer,Male,Cambridge,AAA,"£30,000",GBP,,2,"Health insurance, pension matching up to 5%",
September 2017,UK,Contenet Manager,Male,London,Indie,"£14,000",GBP,,3 months,Does a bad pension count?,I came into the job after spending 3 months of unpaid internship at the studio (covered public transport to and from work). I worked there for about 3 yearsn on a rolling contract the whole time before they basically let me go & i'd decided to leave.
January 2009,UK,Junior Animator,Female,South East,AA,"£20,000",GBP,,0,,
January 2010,UK,Technical Animator,Female,Midlands,AA,"£23,000",GBP,,1,,
January 2011,UK,Technical Animator,Female,Midlands,AA,"£25,000",GBP,,2,,
April 2017,UK,Senior Technical Artist/Animator,Female,West Midlands/Warwickshire,AAA,"£35,000",GBP,,16,,
February 2019,UK,Programmer,Male,Leamington Spa,Indie,"£32,000",GBP,,2.5,"3% Pension, Flexible Hours, WFH Option",
June 2011,UK,Senior Technical Animator,Female,Midlands,AA,"£32,000",GBP,,2.5,,
January 2013,UK,Technical Animator,Female,South East,AAA,"£35,000",GBP,,4,,
January 2016,UK,Lead Technical Artist,Female,South East,AAA,"£45,000",GBP,,7,,
January 2017,UK,Lead Technical Artist,Female,South East,AAA,"£53,000",GBP,,8,Annual bonus,
January 2019,UK,3d vehicle artist,Male,Leamington Spa ,AAA,"£25,000",GBP,,2.5 years,Based on company and individual performance ,If age is useful I'm 24
November 2015,UK,Community Manager,Female,Cambridge ,AA,"£30,000",GBP,,3,,
September 2016,UK,Senior Community Manager,Female,London,AAA,"£32,000",GBP,,4,,
July 2017,UK,Community Manager ,Female,London,Esports,"£32,000",GBP,,6,,
Feb 2019,UK,3D Environment Artist,Female,South-East,,"£28,000",GBP,,5,"Pension Scheme, Eye-care vouchers, free food and drink",
September 2018,UK,Commercial Manager,Male,London,Agency,"£105,000",GBP,,10+,,
Februrary 2019,UK,Freelance producer/designer,Female,London,Indie,"£24,000",GBP,,3,"Remote, flexible",Gross salary varies based on volume of work.
September 2018,UK,Sound Designer,Male,North West,"AAA, Indie","£30,000",GBP,,5,"Private Health and Dental care, Pension, Life Assurance, Cycle to Work",
September 2010,UK,Lead Programmer ,,Leamington Spa,AAA,"£38,000",GBP,,14,"Healthcare, 10% employer pension contribution",
September 2017,UK,Data Analyst ,Male,West Midlands ,AAA,"£30,000",GBP,,2,flexitime ,
Feb 2019,UK,Game Designer,Male,Nottingham,AAA,"£28,000",GBP,,5,,
Febuary 2019,UK,Backend Programmer,Male,London,Mobile,"£51,000",GBP,,5,"Generous pension, bonus, free drinks & snacks, flexible hours","1 year games experience, previous experience in backend web."
April 2017,UK,Research Engineer,Male/NB,Luton,Arcade,"£21,500",GBP,,2,,"Still attached to university, so this salary is a tax-free bursary"
2016,UK,Senior Game Designer,Male,London,AAA mobile,"£43,000",GBP,,9,,
February 2009,UK,Audio Designer,Male,South East,Indie,"£50,000",GBP,,4,,
August 2010,UK,Midweight Web Designer,Male,SEGA,AAA,"£33,000",GBP,,2,,
2015,UK,Level Designer,Male,Birmingham,Mid sized console,"£28,000",GBP,,,,
February 2019,UK,Self-Employed,Male,Sheffield,Freelance,£8424,GBP,260.00,11,None,
February 2019,UK,Sound Designer,Male,Liverpool,,"£22,000",GBP,,2,,
February 2019,UK,Writer,Male,London,Mobile/AA,"£32,000",GBP,,4," Pension, bike scheme, monthly lunch, snacks and drinks, discount vouchers",
